Intro to C++,Caleb Curry,9,32,6701,https://www.youtube.com/watch?v=OTroAxvRNbw&list=PL_c9BZzLwBRJVJsIfe97ey45V4LP_HXiG&index=4&ab_channel=CalebCurry
What Are Pointers?,javidx9,41,54,13000,https://www.youtube.com/watch?v=iChalAKXffs&ab_channel=javidx9
